N;Concurrent;Sequential;
10;144;132;
50;154;143;
100;159;141;
500;187;226;
1000;193;137;
5000;219;143;
10000;246;145;
50000;311;179;
100000;384;225;
500000;975;470;
1000000;1095;901;
5000000;4081;7037;
10000000;9234;18688;
50000000;61896;190295;
100000000;164512;520334;
10;148;135;
50;146;144;
100;153;154;
500;253;164;
1000;217;157;
5000;372;145;
10000;303;153;
50000;493;171;
100000;417;235;
500000;777;467;
1000000;1040;904;
5000000;4125;7418;
10000000;9790;19076;
50000000;76979;190981;
100000000;193998;519165;
10;160;139;
50;200;155;
100;166;132;
500;174;137;
1000;228;129;
5000;247;157;
10000;289;139;
50000;297;174;
100000;397;220;
500000;815;466;
1000000;1337;901;
5000000;4321;7141;
10000000;11153;18934;
50000000;75132;190187;
100000000;156742;648479;
10;142;304;
50;162;137;
100;161;228;
500;182;137;
1000;329;165;
5000;314;137;
10000;806;168;
50000;289;170;
100000;347;231;
500000;683;467;
1000000;1100;898;
5000000;4152;7195;
10000000;9661;18811;
50000000;62899;189722;
100000000;162865;515862;
10;133;144;
50;187;136;
100;186;138;
500;217;131;
1000;187;149;
5000;276;139;
10000;296;150;
50000;353;172;
100000;386;215;
500000;674;459;
1000000;1099;1736;
5000000;4239;7103;
10000000;8236;18833;
50000000;79363;189322;
1100000000;197906;526710;
10;157;150;
50;158;146;
100;145;157;
500;194;133;
1000;213;138;
5000;209;136;
10000;260;135;
50000;507;175;
100000;401;219;
500000;687;687;
1000000;1026;911;
5000000;4298;7263;
10000000;13009;18942;
50000000;76135;192468;
100000000;204186;519637;
10;190;132;
50;154;134;
100;143;139;
500;167;134;
1000;240;148;
5000;286;143;
10000;239;138;
50000;388;170;
100000;536;216;
500000;674;464;
1000000;1066;901;
5000000;4049;7146;
10000000;9613;18873;
50000000;62699;192824;
100000000;173127;523800;
10;140;132;
50;158;141;
100;145;140;
500;178;133;
1000;225;131;
5000;242;146;
10000;284;145;
50000;303;176;
100000;367;214;
500000;707;466;
1000000;1006;895;
5000000;4507;8748;
10000000;8431;19670;
50000000;64210;188873;
100000000;156890;516903;
10;134;133;
50;168;138;
100;204;138;
500;180;147;
1000;277;138;
5000;329;148;
10000;240;150;
50000;385;194;
100000;379;230;
500000;701;464;
1000000;1018;891;
5000000;4142;7096;
10000000;8814;18826;
50000000;62000;189567;
100000000;159839;517331;
10;182;121;
50;152;137;
100;164;130;
500;165;135;
1000;231;132;
5000;272;143;
10000;240;137;
50000;421;173;
100000;441;211;
500000;970;568;
1000000;1138;920;
5000000;4349;7239;
10000000;8660;19671;
50000000;65268;196574;
100000000;166797;517233;
10;169;138;
50;147;134;
100;145;142;
500;171;137;
1000;192;149;
5000;268;139;
10000;282;149;
50000;288;178;
100000;371;220;
500000;656;463;
1000000;1132;890;
5000000;3889;8796;
10000000;7937;18781;
50000000;62241;190467;
100000000;161407;517063;
10;147;134;
50;200;132;
100;144;134;
500;222;135;
1000;206;132;
5000;262;145;
10000;321;143;
50000;310;178;
100000;371;216;
500000;677;465;
1000000;1037;900;
5000000;3957;7075;
10000000;8844;18640;
50000000;71499;189600;
100000000;171349;520096;
10;192;134;
50;135;131;
100;144;135;
500;170;132;
1000;196;135;
5000;195;134;
10000;218;141;
50000;297;194;
100000;395;226;
500000;677;468;
1000000;1103;894;
5000000;3871;7106;
10000000;8063;18707;
50000000;87518;189998;
100000000;156589;514618;
10;136;134;
50;208;132;
100;145;134;
500;173;137;
1000;230;132;
5000;314;141;
10000;249;141;
50000;305;174;
100000;370;220;
500000;716;522;
1000000;1085;893;
5000000;3795;7064;
10000000;9229;18752;
50000000;61280;190302;
100000000;158342;644310;
10;143;139;
50;137;135;
100;145;132;
500;197;133;
1000;191;132;
5000;262;133;
10000;325;148;
50000;337;168;
100000;363;224;
500000;668;477;
1000000;1003;895;
5000000;3955;7303;
10000000;9106;18610;
50000000;61413;189270;
100000000;161345;518054;
10;134;129;
50;152;135;
100;164;140;
500;201;134;
1000;183;132;
5000;250;139;
10000;307;172;
50000;581;182;
100000;366;212;
500000;652;468;
1000000;1040;1072;
5000000;4044;7123;
10000000;8160;18797;
50000000;60038;189270;
100000000;158961;515264;
10;152;144;
50;149;134;
100;144;134;
500;174;144;
1000;226;131;
5000;234;136;
10000;267;141;
50000;462;177;
100000;343;173;
500000;663;458;
1000000;1095;900;
5000000;4216;7116;
10000000;8221;18840;
50000000;61887;190050;
100000000;159225;514203;
10;193;129;
50;159;140;
100;154;135;
500;193;135;
1000;190;135;
5000;242;141;
10000;273;134;
50000;300;167;
100000;416;216;
500000;742;463;
1000000;1038;897;
5000000;4031;7109;
10000000;8085;18822;
50000000;61162;189303;
100000000;156585;515971;
10;188;125;
50;139;133;
100;157;144;
500;160;133;
1000;195;177;
5000;227;139;
10000;285;140;
50000;273;171;
100000;444;224;
500000;648;468;
1000000;1049;909;
5000000;3886;7092;
10000000;9203;18879;
50000000;61321;189480;
100000000;156674;513457;
10;154;137;
50;156;128;
100;144;130;
500;167;128;
1000;184;133;
5000;297;139;
10000;279;139;
50000;334;169;
100000;333;219;
500000;728;452;
1000000;996;898;
5000000;3957;7084;
10000000;8156;18811;
50000000;59559;196231;
100000000;189208;513703;
